"","agency","location_id","location","water_year","datetime","value","value_type","units"
"222","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 06:15:00,7150,"discharge","cfs"
"223","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 06:30:00,7090,"discharge","cfs"
"224","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 06:45:00,7160,"discharge","cfs"
"225","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 07:00:00,7170,"discharge","cfs"
"226","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 07:15:00,6980,"discharge","cfs"
"227","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 07:30:00,6710,"discharge","cfs"
"228","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 07:45:00,6230,"discharge","cfs"
"229","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 08:00:00,5640,"discharge","cfs"
"230","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 08:15:00,4790,"discharge","cfs"
"231","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 08:30:00,3680,"discharge","cfs"
"232","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 08:45:00,2450,"discharge","cfs"
"233","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 09:00:00,1310,"discharge","cfs"
"234","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 09:15:00,393,"discharge","cfs"
"235","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 09:30:00,-845,"discharge","cfs"
"236","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 09:45:00,-1830,"discharge","cfs"
"237","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 10:00:00,-2960,"discharge","cfs"
"238","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 10:15:00,-3770,"discharge","cfs"
"239","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 10:30:00,-4210,"discharge","cfs"
"240","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 10:45:00,-4640,"discharge","cfs"
"241","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 11:00:00,-5140,"discharge","cfs"
"242","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 11:15:00,-5410,"discharge","cfs"
"243","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 11:30:00,-5490,"discharge","cfs"
"244","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 11:45:00,-5610,"discharge","cfs"
"245","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 12:00:00,-5710,"discharge","cfs"
"246","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 12:15:00,-5670,"discharge","cfs"
